MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
001,Glover,Glover,NA,Glover 1,38.85,-91.89,NA
002,Pinnacle,Pinnacle,NA,Pinnacle 1,38.83,-91.42,NA
003,Bowling_Green_East,Bowling Green (East),NA,Bowling Green (East) 1,39.341433988710605,-91.15299251,NA
004,Bowling_Green_West,Bowling Green (West),NA,Bowling Green (West) 1,39.34,-91.16,NA
005,Lincoln,Lincoln,NA,Lincoln 1,39.021113055281894,-90.91999987,NA
006,St_Louis,St. Louis,NA,St. Louis 1,38.8,-90.77,NA
006,St_Louis,St. Louis,NA,St. Louis 2,38.79,-90.8,NA
007,Kraut_Run,Kraut Run,NA,Kraut Run 1,38.74,-90.76,NA
009,Creve_Coeur,Creve Coeur,NA,Creve Coeur 1,38.72,-90.49,NA
009,Creve_Coeur,Creve Coeur,NA,Creve Coeur 2,38.71,-90.48,NA
010,Northwoods,Northwoods,NA,Northwoods 1,38.43,-91.48,NA
011,Peaceful_Valley,Peaceful Valley,NA,Peaceful Valley 1,38.35864017473919,-91.53879742,NA
012,Ben_Branch,Ben Branch,NA,Ben Branch 1,38.56798545,-91.79074675,NA
013,Binder,Binder,NA,Binder 1,38.6,-92.3,NA
013,Binder,Binder,NA,Binder 1.5,38.6,-92.3,NA
014,Tishomingo,Tishomingo,NA,Tishomingo 1,38.32,-90.6,NA
014,Tishomingo,Tishomingo,NA,Tishomingo 2,38.31,-90.59,NA
015,Wauwanoka,Wauwanoka,NA,Wauwanoka 1,38.23,-90.53,NA
015,Wauwanoka,Wauwanoka,NA,Wauwanoka 2,38.23,-90.54,NA
016,Timberline,Timberline,NA,Timberline 1,37.99,-90.54,NA
017,Carmel,Carmel,NA,Carmel 1,37.93,-90.64,NA
018,Capri,Capri,NA,Capri 1,37.89870785289234,-90.61502276,NA
019,Marseilles,Marseilles,NA,Marseilles 1,37.89568602111851,-90.62179623,NA
020,Monsanto,Monsanto,NA,Monsanto 1,37.81,-90.5,NA
021,Goose_Creek,Goose Creek,NA,Goose Creek 1,37.98186194949524,-90.32307837,NA
022,Ann,Ann,NA,Ann 1,37.95,-90.21,NA
023,Wanda_Lee,Wanda Lee,NA,Wanda Lee 1,37.94,-90.23,NA
024,Fredricktown_City,Fredricktown City,NA,Fredricktown City 1,37.57701101983076,-90.30864519,NA
025,Perry_County,Perry County,NA,Perry County 1,37.72,-89.91,NA
026,Bella_Vista,Bella Vista,NA,Bella Vista 1,37.47,-89.58,NA
027,Boutin,Boutin,NA,Boutin 1,37.45,-89.49,NA
028,Girardeau,Girardeau,NA,Girardeau 1,37.28,-89.84,NA
029,Tywappity,Tywappity,NA,Tywappity 1,37.19,-89.64,NA
030,Wappapello,Wappapello,NA,Wappapello (Deep) 1,36.93,-90.28,NA
030,Wappapello,Wappapello,NA,Wappapello (Deep) 2,36.99,-90.34,NA
030,Wappapello,Wappapello,NA,Wappapello 1,36.93,-90.28,NA
030,Wappapello,Wappapello,NA,Wappapello 2,36.99,-90.34,NA
030,Wappapello,Wappapello,NA,Wappapello 3,37.19,-90.5,NA
031,Beaver,Beaver,NA,Beaver 1,36.8,-90.62,NA
032,Ripley,Ripley,NA,Ripley 1,36.65865248370248,-90.95477766,NA
033,Fourche_Creek,Fourche Creek,NA,Fourche Creek 1,36.636470618205536,-91.05273981,NA
034,McCormack,McCormack,NA,McCormack 1,36.82,-91.35,NA
035,Miller_Community,Miller Community,NA,Miller Community 1,37.05,-90.9,NA
036,Clearwater,Clearwater,NA,Clearwater 1,37.14,-90.77,NA
036,Clearwater,Clearwater,NA,Clearwater 2,37.15,-90.81,NA
036,Clearwater,Clearwater,NA,Clearwater 3,37.17,-90.81,NA
036,Clearwater,Clearwater,NA,Clearwater 4,37.18,-90.79,NA
037,Lower_Taum_Sauk,Lower Taum Sauk,NA,Lower Taum Sauk 1,37.49799680365297,-90.83453637,NA
038,Killarney,Killarney,NA,Killarney 1,37.591445403225805,-90.56488169,NA
039,Council_Bluff,Council Bluff,NA,Council Bluff 1,37.729194299434006,-90.91182255,NA
040,Sunnen,Sunnen,NA,Sunnen 1,37.95141819286542,-90.92709844,NA
041,Rocky_Fork,Rocky Fork,NA,Rocky Fork 1,39.08,-92.31,NA
042,TriCity_Community,Tri-City Community,NA,Tri-City Community 1,39.19,-92.21,NA
042,TriCity_Community,Tri-City Community,NA,Tri-City Community 2,39.19,-92.21,NA
042,TriCity_Community,Tri-City Community,NA,Tri-City Community 3,39.19,-92.21,NA
043,DC_Rogers,D.C. Rogers,NA,D.C. Rogers 1,39.15576832400977,-92.71001443,NA
044,Peters,Peters,Fayette,Peters 1,39.165475708721246,-92.73082432,NA
045,Nehai_Tonkayea,Nehai Tonkayea,NA,Nehai Tonkayea 1,39.59108844534883,-92.89048951,NA
046,Thomas_Hill,Thomas Hill,NA,Thomas Hill 1,39.56845112798956,-92.63977055,NA
047,Sugar_Creek,Sugar Creek,NA,Sugar Creek 1,39.47,-92.48,NA
047,Sugar_Creek,Sugar Creek,NA,Sugar Creek 2,39.48,-92.46,NA
047,Sugar_Creek,Sugar Creek,NA,Sugar Creek 3,39.49,-92.47,NA
047,Sugar_Creek,Sugar Creek,NA,Sugar Creek 4,39.49,-92.47,NA
048,Long_Branch,Long Branch,NA,Long Branch 1,39.75,-92.51,NA
048,Long_Branch,Long Branch,NA,Long Branch 2,39.84,-92.52,NA
048,Long_Branch,Long Branch,NA,Long Branch 3,39.82,-92.5,NA
049,Macon,Macon,NA,Macon 1,39.74873679443852,-92.49418618,NA
050,Spring,Spring,NA,Spring 1,40.10055944337695,-92.67807767,NA
051,Mahoney,Mahoney,NA,Mahoney 1,40.5,-93.02,NA
051,Mahoney,Mahoney,NA,Mahoney 2,40.5,-93.02,NA
051,Mahoney,Mahoney,NA,Mahoney 3,40.5,-93.02,NA
051,Mahoney,Mahoney,NA,Mahoney A1,40.49,-93.03,NA
051,Mahoney,Mahoney,NA,Mahoney A2,40.49,-93.02,NA
052,Thunderhead,Thunderhead,NA,Thunderhead 1,40.53,-93.02,NA
053,Memphis_City,Memphis City,NA,Memphis City 1,40.448521991726366,-92.20146035,NA
054,Ella_Ewing,Ella Ewing,NA,Ella Ewing 1,40.34,-92.01,NA
055,Baring_Country_Club,Baring Country Club,NA,Baring Country Club 1,40.23,-92.2,NA
056,Edina_City,Edina City,NA,Edina City 1,40.19,-92.18,NA
057,Deer_Ridge,Deer Ridge,NA,Deer Ridge 1,40.18056387177271,-91.82820589,NA
058,Wakonda,Wakonda,NA,Wakonda 1,40.01,-91.5,NA
059,Shelbina,Shelbina,NA,Shelbina 1,39.73,-92.04,NA
060,Monroe_City,Monroe City,NA,Monroe City 1,39.62066057635329,-91.73326835,NA
061,Vandalia_Community,Vandalia Community,NA,Vandalia Community 1,39.24,-91.54,NA
062,Tebo,Tebo,NA,Tebo 1,38.61,-93.29,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 1,38.57,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 1.1,38.57,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 2,38.56,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 2.5,38.56,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 3,38.55,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 3.5,38.55,-93.24,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 4,38.55,-93.25,NA
063,Spring_Fork,Spring Fork,NA,Spring Fork 5,38.53,-93.24,NA
064,Odessa_Lower,Odessa (Lower),NA,Odessa (Lower) 1,38.97,-93.99,NA
065,Tapawingo,Tapawingo,NA,Tapawingo 1,39.02,-94.32,NA
065,Tapawingo,Tapawingo,NA,Tapawingo 2,39.02,-94.31,NA
066,Prairie_Lee,Prairie Lee,NA,Prairie Lee 1,38.94,-94.33,NA
067,Lotawana,Lotawana,NA,Lotawana 1,38.94,-94.25,NA
067,Lotawana,Lotawana,NA,Lotawana 2,38.93,-94.25,NA
067,Lotawana,Lotawana,NA,Lotawana 3,38.92,-94.25,NA
068,Longview,Longview,NA,Longview 1,38.92,-94.47,NA
068,Longview,Longview,NA,Longview 2,38.91,-94.47,NA
068,Longview,Longview,NA,Longview 3,38.89,-94.49,NA
069,Harrisonville,Harrisonville,NA,Harrisonville 1,38.77,-94.33,NA
070,North,North,NA,North 1,38.68705635018153,-94.35851174,NA
071,Waukomis,Waukomis,NA,Waukomis 1,39.23,-94.63,NA
072,Smithville,Smithville,NA,Smithville 1,39.4,-94.55,NA
072,Smithville,Smithville,NA,Smithville 2,39.42,-94.48,NA
072,Smithville,Smithville,NA,Smithville 2.1,39.48,-94.52,NA
072,Smithville,Smithville,NA,Smithville 3,39.49,-94.51,NA
072,Smithville,Smithville,NA,Smithville 3.1,39.41,-94.51,NA
072,Smithville,Smithville,NA,Smithville 4,39.45,-94.54,NA
