MULakeNumber,waterBody,Latitude_waterBody,Longitude_waterBody,Hylak_id,ecoregionID,EPA_L3NAME,waterbody_elevation,waterbody_area_km2,waterbody_perimeter_km,waterbody_elongation_ratio,watershed_area_km2,watershed_perimeter_km,watershed_elongation_ratio,landCover
001,Glover,38.85,-91.89,NA,2,Interior River Valleys and Hills,184,0.153292818,4.717493177,0.3145,25.58492232,31.49434411,0.5958,mixed
002,Pinnacle,38.83,-91.42,1057411,2,Interior River Valleys and Hills,177,0.765586526,9.455827419,0.5165,30.85249253,37.05384426,0.7006,forest
003,Bowling_Green_East,39.34,-91.15,NA,2,Interior River Valleys and Hills,233,0.287128235,5.657155613,0.4444,5.573918211,14.13750671,0.7363,forest
004,Bowling_Green_West,39.34,-91.16,NA,2,Interior River Valleys and Hills,239,0.189437605,3.980676166,0.4841,4.212299131,12.20742614,0.763,forest
005,Lincoln,39.02,-90.92,1057183,2,Interior River Valleys and Hills,160,0.345088974,7.640597978,0.3332,6.399798898,16.67839982,0.5614,forest
006,St_Louis,38.8,-90.77,112421,2,Interior River Valleys and Hills,140,2.963703823,24.82513289,0.3727,235.0432692,160.7277222,0.4622,mixed
007,Kraut_Run,38.74,-90.76,1057503,2,Interior River Valleys and Hills,144,1.092848388,6.892830608,0.547,185.9877303,137.350357,0.5524,mixed
009,Creve_Coeur,38.72,-90.48,112432,2,Interior River Valleys and Hills,116,2.018223378,10.26156392,0.5139,133.1541148,83.23381523,0.6093,urban
010,Northwoods,38.43,-91.48,1057787,3,Ozark Highlands,228,0.509764812,6.384451398,0.5239,6.941795848,15.95853125,0.7693,forest
011,Peaceful_Valley,38.36,-91.54,1057880,3,Ozark Highlands,225,1.041645098,8.052084047,0.4663,20.20863201,27.14108942,0.711,forest
012,Ben_Branch,38.57,-91.79,1057640,3,Ozark Highlands,220,0.258445682,3.522054908,0.5667,5.013442018,11.46860972,0.8529,forest
013,Binder,38.6,-92.3,1057619,2,Interior River Valleys and Hills,184,0.888871377,9.10198253,0.3769,24.82423808,36.09136208,0.7465,mixed
014,Tishomingo,38.32,-90.6,1057931,3,Ozark Highlands,143,0.787146664,10.22868135,0.3622,12.0304159,22.78304303,0.6163,forest
015,Wauwanoka,38.23,-90.53,1058019,3,Ozark Highlands,164,0.611517834,7.398755115,0.4489,8.753423956,16.24469992,0.748,forest
016,Timberline,37.99,-90.54,NA,3,Ozark Highlands,222,0.253390483,4.544846725,0.3846,5.814457231,15.78051823,0.6129,forest
017,Carmel,37.93,-90.64,1058465,3,Ozark Highlands,252,0.360082266,4.843973716,0.5722,3.555595973,11.53035713,0.748,forest
018,Capri,37.9,-90.63,1058489,3,Ozark Highlands,241,0.708449387,6.634315014,0.5883,2.344898742,9.392057375,0.8017,mixed
019,Marseilles,37.9,-90.62,1058493,3,Ozark Highlands,240,0.309574996,3.39911482,0.5769,2.451668025,8.683119775,0.7389,mixed
020,Monsanto,37.81,-90.5,NA,3,Ozark Highlands,272,0.118146484,2.631384929,0.4806,3.485371414,9.842081348,0.7393,forest
021,Goose_Creek,37.98,-90.32,112563,3,Ozark Highlands,198,2.056316552,18.17078628,0.3886,27.93671881,35.15108758,0.633,forest
022,Ann,37.95,-90.21,1058424,3,Ozark Highlands,145,0.536280768,6.441655084,0.36,17.78329789,23.57487657,0.6741,forest
023,Wanda_Lee,37.94,-90.24,1058446,3,Ozark Highlands,145,0.632646647,7.059301768,0.4265,48.5055658,59.13182482,0.5317,forest
024,Fredricktown_City,37.58,-90.31,1058822,3,Ozark Highlands,211,0.51539162,5.82272877,0.4496,186.2998424,134.8702266,0.6888,forest
025,Perry_County,37.72,-89.91,1058660,2,Interior River Valleys and Hills,147,0.594618924,6.885485447,0.4574,15.2505636,27.19480791,0.5921,agriculture
026,Bella_Vista,37.47,-89.58,1058926,2,Interior River Valleys and Hills,121,0.278448012,3.113032295,0.5496,2.667612748,9.087808142,0.6254,forest
027,Boutin,37.45,-89.49,NA,2,Interior River Valleys and Hills,145,0.125688495,2.327953157,0.5141,0.747978392,4.749057452,0.7545,forest
028,Girardeau,37.28,-89.84,1059122,3,Ozark Highlands,114,0.924327416,8.35485534,0.5261,15.17657605,22.24132952,0.7145,forest
029,Tywappity,37.19,-89.64,1059243,2,Interior River Valleys and Hills,116,0.272878733,4.630509254,0.5781,2.344142652,8.040937382,0.8289,forest
030,Wappapello,36.93,-90.28,9294,3,Ozark Highlands,70,49.6938923,388.8379165,0.2145,4546.0992,1041.708161,0.5725,forest
031,Beaver,36.8,-90.62,NA,3,Ozark Highlands,167,0.087740198,1.449155922,0.5708,1.472434644,6.304873918,0.7328,forest
032,Ripley,36.66,-90.96,NA,3,Ozark Highlands,198,0.110293709,1.835026041,0.6745,0.912836304,5.24674602,0.6962,forest
033,Fourche_Creek,36.64,-91.05,1059636,3,Ozark Highlands,170,0.299978234,4.086569198,0.4428,33.10062322,35.29510442,0.7395,forest
034,McCormack,36.82,-91.35,NA,3,Ozark Highlands,180,0.056923983,1.192381948,0.5276,14.84996104,24.20667735,0.6026,forest
035,Miller_Community,37.05,-90.9,NA,3,Ozark Highlands,258,0.167787356,2.091733778,0.6067,1.983972903,7.477005758,0.7007,forest
036,Clearwater,37.13,-90.77,112722,3,Ozark Highlands,122,10.43494654,55.19748927,0.4214,2957.747076,704.5647527,0.6714,forest
037,Lower_Taum_Sauk,37.5,-90.84,1058895,3,Ozark Highlands,215,1.058259832,10.34847504,0.4004,352.4445072,152.8145845,0.7804,forest
038,Killarney,37.59,-90.56,1058810,3,Ozark Highlands,239,0.394119332,6.280275287,0.3818,183.3215518,122.6184516,0.6553,forest
039,Council_Bluff,37.73,-90.91,112606,3,Ozark Highlands,321,2.780444013,22.10528037,0.4421,55.17123624,41.79942415,0.816,forest
040,Sunnen,37.95,-90.93,1058426,3,Ozark Highlands,247,1.342504284,10.5382709,0.4049,98.23775855,69.86866322,0.7038,forest
041,Rocky_Fork,39.07,-92.31,1057104,1,Central Irregular Plains,212,0.369626714,4.541826372,0.4696,23.05343706,40.39834418,0.7232,mixed
042,TriCity_Community,39.19,-92.21,NA,1,Central Irregular Plains,251,0.183984831,3.122352461,0.5212,2.419397769,9.443413161,0.742,agriculture
043,DC_Rogers,39.15,-92.71,1057018,2,Interior River Valleys and Hills,199,1.315123279,11.30875345,0.4679,17.70363886,27.79448516,0.6131,mixed
044,Peters,39.17,-92.73,1057007,2,Interior River Valleys and Hills,199,0.420631104,5.741164275,0.4114,10.05431763,18.26325343,0.7263,forest
045,Nehai_Tonkayea,39.59,-92.89,112259,1,Central Irregular Plains,215,1.555720379,17.52963411,0.4667,7.637439192,15.15972397,0.6715,mixed
046,Thomas_Hill,39.55,-92.64,9207,1,Central Irregular Plains,168,27.41235074,111.4957268,0.3247,611.2199617,220.5467739,0.4436,agriculture
047,Sugar_Creek,39.47,-92.48,112285,1,Central Irregular Plains,215,2.098120087,23.67186246,0.429,50.79200729,52.93886269,0.6243,agriculture
048,Long_Branch,39.75,-92.52,112223,1,Central Irregular Plains,226,18.89049324,137.0580346,0.297,447.5241824,233.8591588,0.4149,agriculture
049,Macon,39.75,-92.49,1056312,1,Central Irregular Plains,228,1.293940938,11.63960378,0.4086,11.14973138,24.59093809,0.7947,mixed
050,Spring,40.1,-92.68,1055923,1,Central Irregular Plains,221,0.599557584,7.204452437,0.4305,12.81614205,21.3776532,0.6807,forest
051,Mahoney,40.5,-93.02,112053,1,Central Irregular Plains,283,0.516884967,7.456804471,0.3654,11.30285066,20.43893412,0.7978,agriculture
052,Thunderhead,40.53,-93.02,NA,1,Central Irregular Plains,280,6.031031391,55.01818261,0.2745,103.5945268,78.94426847,0.5461,agriculture
053,Memphis_City,40.45,-92.2,1055589,1,Central Irregular Plains,209,0.288001694,4.886382406,0.4539,7.18006982,22.55262478,0.6616,agriculture
054,Ella_Ewing,40.34,-92.01,NA,1,Central Irregular Plains,218,0.080348552,1.805523948,0.6313,1.531074892,6.382753389,0.7201,agriculture
055,Baring_Country_Club,40.23,-92.2,1055761,1,Central Irregular Plains,231,0.592063179,6.568694083,0.6855,3.922894462,15.4674338,0.7036,agriculture
056,Edina_City,40.19,-92.18,1055801,1,Central Irregular Plains,222,0.352804653,4.852725841,0.3799,311.5642781,210.0542383,0.3548,agriculture
057,Deer_Ridge,40.18,-91.83,1055822,1,Central Irregular Plains,195,0.313543903,5.018206888,0.4005,2.815611107,9.180769277,0.6617,forest
058,Wakonda,40.01,-91.51,112172,2,Interior River Valleys and Hills,119,1.455446467,11.71807372,0.6202,14.49110731,25.82375275,0.7241,agriculture
059,Shelbina,39.73,-92.04,1056341,1,Central Irregular Plains,218,0.357341811,5.002295504,0.5462,2.271001676,10.29724675,0.6147,agriculture
060,Monroe_City,39.62,-91.73,1056469,2,Interior River Valleys and Hills,209,0.408943565,5.70380656,0.5928,22.01232953,32.69169707,0.585,agriculture
061,Vandalia_Community,39.24,-91.54,NA,1,Central Irregular Plains,226,0.2366902,6.549813455,0.4388,3.191932322,10.87654041,0.6096,agriculture
062,Tebo,38.61,-93.29,1057611,1,Central Irregular Plains,251,0.483164827,5.055641162,0.5101,21.38737098,33.04158003,0.5869,agriculture
063,Spring_Fork,38.57,-93.24,1057641,1,Central Irregular Plains,259,0.852993945,5.17224867,0.5925,46.46057241,50.56656192,0.5836,agriculture
064,Odessa_Lower,38.97,-93.99,1057242,1,Central Irregular Plains,241,0.586236719,6.849293893,0.5478,15.71738405,23.64719999,0.7441,agriculture
065,Tapawingo,39.02,-94.32,1057184,1,Central Irregular Plains,250,0.555750031,7.473510531,0.4616,8.617342718,16.25508351,0.678,urban
066,Prairie_Lee,38.94,-94.33,1057277,1,Central Irregular Plains,251,0.964329699,9.854809127,0.4954,54.97295222,42.18886293,0.8314,urban
067,Lotawana,38.94,-94.25,112403,1,Central Irregular Plains,252,3.262839795,26.61706549,0.3849,28.47635326,29.06843254,0.8279,mixed
068,Longview,38.92,-94.47,112406,1,Central Irregular Plains,259,6.38399361,36.60797596,0.4365,194.1864206,104.2374908,0.8292,mixed
069,Harrisonville,38.76,-94.33,112425,1,Central Irregular Plains,265,2.780010517,24.76670996,0.4714,47.73719624,55.2730055,0.6694,agriculture
070,North,38.69,-94.36,1057539,1,Central Irregular Plains,280,0.250893656,3.467470335,0.4719,10.83841132,18.14157385,0.6481,agriculture
071,Waukomis,39.23,-94.63,1056933,6,Western Corn Belt Plains,269,0.513385356,7.521400548,0.4491,8.510490659,16.39198832,0.712,urban
